_id,customer_id,site_id,building_id,asset_id,asset_no,status,category,type,make,model,serial,level,area,service_status,age,last_test_result,is_active,createdAt,updatedAt,__v,acquisition_cost,criticality_level,current_value,capacity_specifications,energy_rating,last_service_date,next_service_due,notes,qr_code,service_contractor,warranty_expiry,device_id,refrigerant,owner,da19_life_expectancy,installation_date,last_test_date,purchase_cost,current_book_value,weight,current_book_value_aud,date_of_installation,purchase_cost_aud,weight_kgs,refrigerant_consumption,refrigerant_capacity,floor_id
68de88fc19db3d885705ac26,68d673e9871decbf7c4fdfa3,68da5f9d41224f28de531b9f,68db8aad7b1a05816224c53e,HVA-1486,HVA-1486,Operational,HVAC,HVAC,Daikin,DAI-3834,SN535233,Floor 1,Floor 1,Overdue,7,Fail,true,2025-10-02T14:15:24.648Z,2025-10-02T14:15:24.648Z,0,,Poor,,,,,,,,,,,,,,,,,,,,,,,,,
68de88fc19db3d885705ac27,68d673e9871decbf7c4fdfa3,68da5f9d41224f28de531b9f,68db8aad7b1a05816224c53e,LIF-1487,LIF-1487,Inactive,Lift/Elevator,Lift/Elevator,Daikin,DAI-8213,SN882170,Floor 1,Floor 1,Current,8,Pass,true,2025-10-02T14:15:24.648Z,2025-10-02T14:15:24.648Z,0,,Fair,,,,,,,,,,,,,,,,,,,,,,,,,
68de88fc19db3d885705ac28,68d673e9871decbf7c4fdfa3,68da5f9d41224f28de531b9f,68db8aad7b1a05816224c53e,HVA-1488,HVA-1488,Operational,HVAC,HVAC,Johnson Controls,JOH-5508,SN132582,Floor 1,Floor 1,Current,2,Pass,true,2025-10-02T14:15:24.648Z,2025-10-02T14:15:24.648Z,0,,Good,,,,,,,,,,,,,,,,,,,,,,,,,
68de88fc19db3d885705ac29,68d673e9871decbf7c4fdfa3,68da5f9d41224f28de531b9f,68db8aad7b1a05816224c53e,ELE-1489,ELE-1489,Operational,Electrical,Electrical,Siemens,SIE-8610,SN253234,Floor 1,Floor 1,Due Soon,13,Fail,true,2025-10-02T14:15:24.648Z,2025-10-02T14:15:24.648Z,0,,Good,,,,,,,,,,,,,,,,,,,,,,,,,
68de88fc19db3d885705ac2a,68d673e9871decbf7c4fdfa3,68da5f9d41224f28de531b9f,68db8aad7b1a05816224c53e,HVA-1490,HVA-1490,Operational,HVAC,HVAC,Honeywell,HON-4724,SN961324,Floor 1,Floor 1,Current,10,Fail,true,2025-10-02T14:15:24.648Z,2025-10-02T14:15:24.648Z,0,,Poor,,,,,,,,,,,,,,,,,,,,,,,,,
68de88fc19db3d885705ac2b,68d673e9871decbf7c4fdfa3,68da5f9d41224f28de531b9f,68db8aad7b1a05816224c53e,FIR-1491,FIR-1491,Inactive,Fire Safety,Fire Safety,Siemens,SIE-9091,SN246289,Floor 2,Floor 2,Due Soon,11,Pending,true,2025-10-02T14:15:24.648Z,2025-10-02T14:15:24.648Z,0,,Fair,,,,,,,,,,,,,,,,,,,,,,,,,
68de88fc19db3d885705ac2c,68d673e9871decbf7c4fdfa3,68da5f9d41224f28de531b9f,68db8aad7b1a05816224c53e,HVA-1492,HVA-1492,Inactive,HVAC,HVAC,Johnson Controls,JOH-4158,SN139865,Floor 2,Floor 2,Due Soon,4,Fail,true,2025-10-02T14:15:24.648Z,2025-10-02T14:15:24.648Z,0,,Good,,,,,,,,,,,,,,,,,,,,,,,,,
68de88fc19db3d885705ac2d,68d673e9871decbf7c4fdfa3,68da5f9d41224f28de531b9f,68db8aad7b1a05816224c53e,PLU-1493,PLU-1493,Operational,Plumbing,Plumbing,Schneider Electric,SCH-5323,SN613059,Floor 2,Floor 2,Current,5,Pass,true,2025-10-02T14:15:24.648Z,2025-10-02T14:15:24.648Z,0,,Fair,,,,,,,,,,,,,,,,,,,,,,,,,
68de88fc19db3d885705ac2e,68d673e9871decbf7c4fdfa3,68da5f9d41224f28de531b9f,68db8aad7b1a05816224c53e,FIR-1494,FIR-1494,Operational,Fire Safety,Fire Safety,Honeywell,HON-1881,SN247345,Floor 2,Floor 2,Current,7,Pass,true,2025-10-02T14:15:24.649Z,2025-10-02T14:15:24.649Z,0,,Fair,,,,,,,,,,,,,,,,,,,,,,,,,
68de88fc19db3d885705ac2f,68d673e9871decbf7c4fdfa3,68da5f9d41224f28de531b9f,68db8aad7b1a05816224c53e,PLU-1495,PLU-1495,Inactive,Plumbing,Plumbing,Siemens,SIE-3112,SN981835,Floor 2,Floor 2,Current,5,Pass,true,2025-10-02T14:15:24.649Z,2025-10-02T14:15:24.649Z,0,,Fair,,,,,,,,,,,,,,,,,,,,,,,,,
68de88fc19db3d885705ac30,68d673e9871decbf7c4fdfa3,68da5f9d41224f28de531b9f,68db8aad7b1a05816224c53e,PLU-1496,PLU-1496,Operational,Plumbing,Plumbing,Daikin,DAI-5779,SN901964,Floor 3,Floor 3,Overdue,7,Pass,true,2025-10-02T14:15:24.649Z,2025-10-02T14:15:24.649Z,0,,Good,,,,,,,,,,,,,,,,,,,,,,,,,
68de88fc19db3d885705ac31,68d673e9871decbf7c4fdfa3,68da5f9d41224f28de531b9f,68db8aad7b1a05816224c53e,PLU-1497,PLU-1497,Maintenance Required,Plumbing,Plumbing,Carrier,CAR-2554,SN550413,Floor 3,Floor 3,Due Soon,13,Pending,true,2025-10-02T14:15:24.649Z,2025-10-02T14:15:24.649Z,0,,Fair,,,,,,,,,,,,,,,,,,,,,,,,,
